Day/Time	2015	2016	2017	2018	2019	2022	2023	AVERAGE	MODE	MAX	MIN	AVERAGE+MARGIN
Tuesday 06:00	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 06:15	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 06:30	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 06:45	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 07:00	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 07:15	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 07:30	0	0	0	0	0	0	0	0	0	0	0	0
Tuesday 07:45	0	0	1	0	0	0	0	1	1	1	1	4
Tuesday 08:00	0	0	1	0	0	0	0	1	1	1	1	4
Tuesday 08:15	0	0	1	0	0	0	0	1	1	1	1	4
Tuesday 08:30	0	0	1	0	0	0	0	1	1	1	1	4
Tuesday 08:45	2	0	1	0	0	0	0	1.5	1	2	1	5
Tuesday 09:00	2	0	2	0	0	0	0	2	2	2	2	5
Tuesday 09:15	2	0	2	0	0	0	0	2	2	2	2	5
Tuesday 09:30	0	0	2	0	0	0	0	2	2	2	2	5
Tuesday 09:45	0	0	3	0	0	1	0	2	1	3	1	5
Tuesday 10:00	0	0	3	0	0	1	0	2	1	3	1	5
Tuesday 10:15	0	0	4	0	0	1	0	2.5	1	4	1	6
Tuesday 10:30	0	0	4	0	0	1	0	2.5	1	4	1	6
Tuesday 10:45	0	0	4	0	0	2	4	3.33	4	4	2	7
Tuesday 11:00	0	0	4	0	0	2	4	3.33	4	4	2	7
Tuesday 11:15	0	0	5	0	0	2	4	3.67	4	5	2	7
Tuesday 11:30	0	0	3	0	0	2	4	3	3	4	2	6
Tuesday 11:45	0	5	3	0	0	2	4	3.5	3	5	2	7
Tuesday 12:00	0	5	2	0	0	2	0	3	2	5	2	6
Tuesday 12:15	0	5	2	0	0	2	0	3	2	5	2	6
Tuesday 12:30	0	2	1	0	0	2	0	1.67	2	2	1	5
Tuesday 12:45	0	2	2	0	0	2	0	2	2	2	2	5
Tuesday 13:00	0	0	1	0	0	2	0	1.5	1	2	1	5
Tuesday 13:15	0	0	2	0	0	2	0	2	2	2	2	5
Tuesday 13:30	0	0	4	0	0	2	0	3	2	4	2	6
Tuesday 13:45	0	4	5	0	0	2	0	3.67	4	5	2	7
Tuesday 14:00	0	4	6	0	0	2	0	4	4	6	2	7
Tuesday 14:15	0	8	6	0	0	2	0	5.33	6	8	2	9
Tuesday 14:30	0	4	6	0	0	2	0	4	4	6	2	7
Tuesday 14:45	3	4	5	0	0	2	0	3.5	3	5	2	7
Tuesday 15:00	3	0	4	0	0	2	0	3	3	4	2	6
Tuesday 15:15	3	0	4	0	0	2	0	3	3	4	2	6
Tuesday 15:30	1	0	4	0	0	2	0	2.33	2	4	1	6
Tuesday 15:45	1	0	4	0	0	2	0	2.33	2	4	1	6
Tuesday 16:00	0	0	3	0	0	2	0	2.5	2	3	2	6
Tuesday 16:15	0	0	2	0	1	2	0	1.67	2	2	1	5
Tuesday 16:30	0	0	2	0	1	2	0	1.67	2	2	1	5
